2024-02-02 15:38:34.379 [main] INFO  com.sl.pp.AppMain - AppMain.main() :: Execution Started 
2024-02-02 15:38:34.390 [pool-2-thread-1] INFO  com.sl.pp.service.XmlService - InsertProcess::XmlService Started
2024-02-02 15:38:35.104 [pool-2-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.getXMLFiles() :: total xml files present 187
2024-02-02 15:38:53.871 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ050120241.xml moved to null
2024-02-02 15:38:54.046 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ051220231.xml moved to null
2024-02-02 15:38:54.299 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ051220232.xml moved to null
2024-02-02 15:38:54.300 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ051220233.xml moved to null
2024-02-02 15:38:54.463 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ061220232.xml moved to null
2024-02-02 15:38:54.568 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ061220231.xml moved to null
2024-02-02 15:38:54.758 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ061220233.xml moved to null
2024-02-02 15:38:55.226 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ061220235.xml moved to null
2024-02-02 15:38:55.648 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ071220231.xml moved to null
2024-02-02 15:38:56.104 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ061220234.xml moved to null
2024-02-02 15:38:56.340 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ071220234.xml moved to null
2024-02-02 15:38:56.496 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ071220232.xml moved to null
2024-02-02 15:38:56.907 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ071220233.xml moved to null
2024-02-02 15:38:56.937 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ071220235.xml moved to null
2024-02-02 15:38:56.950 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ061220236.xml moved to null
2024-02-02 15:38:57.139 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ071220236.xml moved to null
2024-02-02 15:39:03.160 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ071220237.xml moved to null
2024-02-02 15:39:03.383 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ081220231.xml moved to null
2024-02-02 15:39:03.383 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ091220231.xml moved to null
2024-02-02 15:39:04.334 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ091220232.xml moved to null
2024-02-02 15:39:04.336 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ081220232.xml moved to null
2024-02-02 15:39:05.549 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ101220231.xml moved to null
2024-02-02 15:39:07.172 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ121220231.xml moved to null
2024-02-02 15:39:07.185 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ101220232.xml moved to null
2024-02-02 15:39:07.744 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ121220232.xml moved to null
